Date,Close,Volume,Open,High,Low
2019-11-22,103100,409620,105200,105400,101800
2019-11-21,104100,390200,104000,106000,104000
2019-11-20,105000,628880,107000,107100,105000
2019-11-19,107500,283980,108000,108000,106900
2019-11-18,108500,505950,108500,109000,108300
2019-11-15,108000,568170,106500,108500,106000
2019-11-14,106500,645350,105000,107700,104900
2019-11-13,105000,179700,105000,105000,104100
2019-11-12,105000,177250,104100,105400,104000
2019-11-11,104300,279720,105700,106000,104300
2019-11-08,105700,224320,107000,107000,105600
2019-11-07,106100,175980,105500,106400,105100
2019-11-06,105800,350590,107000,107000,105500
2019-11-05,107000,618060,105600,107200,105500
2019-11-04,105500,499870,105100,106500,105100
2019-11-01,104500,401260,102400,104800,102400
2019-10-31,103500,410730,103500,103800,102300
2019-10-30,103200,339620,102300,103300,101700
2019-10-29,102200,127260,103000,103000,102200
2019-10-28,102900,217560,102700,103200,102500
2019-10-25,102500,254770,103000,103000,102000
2019-10-24,102400,150780,102000,102500,101800
2019-10-23,101200,105640,101400,101600,101000
2019-10-22,101400,122380,101200,101700,101200
2019-10-21,101200,170180,101000,101900,100500
2019-10-18,101000,167550,101800,101800,100900
2019-10-17,101000,247850,101300,101900,100500
2019-10-16,101200,147010,101200,101900,101100
2019-10-15,101200,194130,102000,102000,101000
2019-10-14,102000,217560,102900,103000,101600
2019-10-11,102300,212840,101200,103000,101200
2019-10-10,101100,173870,100300,101200,100300
2019-10-09,100300,201050,99900,101000,99700
2019-10-08,99900,425630,100700,100900,99600
2019-10-07,100700,224250,101500,101500,100500
2019-10-04,100500,595640,102000,102900,100500
2019-10-03,102000,511550,103000,103000,101500
2019-10-02,103500,450590,106000,106000,103200
2019-10-01,106200,283850,106200,106500,105000
2019-09-30,106300,632370,105000,107500,105000
2019-09-27,105000,489500,104400,105900,104400
2019-09-26,104000,343280,102400,104300,101800
2019-09-25,102400,216420,103000,103000,101700
2019-09-24,103500,229570,103900,104600,103000
2019-09-23,103500,257330,102800,104600,102800
2019-09-20,102800,276350,103800,104700,102600
2019-09-19,103800,266300,103000,103800,102900
2019-09-18,104000,691660,106000,106000,103700
2019-09-17,106900,836730,104000,107000,103500
2019-09-16,103400,622830,99000,104100,102800
2019-09-13,101000,260180,99000,101700,99000
2019-09-12,99300,85080,99000,99900,98900
2019-09-11,98700,170960,99300,99500,98500
2019-09-10,99300,338880,100500,101000,98900
2019-09-09,100100,100280,101500,101000,100100
2019-09-06,100800,70560,101500,101500,100400
2019-09-05,100500,109840,101500,102000,100400
2019-09-04,100400,235150,100700,100700,99800
2019-09-03,99800,159010,100700,100700,97000
2019-08-30,100600,176460,100500,101600,100500
2019-08-29,100500,205170,101000,101800,100500
2019-08-28,102300,106940,102000,103200,102000
2019-08-27,101900,150750,102800,102800,101500
2019-08-26,101500,518030,102600,103000,101000
